# http://earthquake.usgs.gov/earthquakes/search/
# Temblores de magnitud 5 a 10, durante un periodo de 10 años, limitada al area Chile.

time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-25T17:58:04.970Z,-40.7281,-86.4356,10,5.8,mww,,132,9.813,1.33,us,us100049hf,2016-04-15T00:59:01.000Z,"West Chile Rise",earthquake,10.2,1.9,,,reviewed,us,us
2015-12-19T19:25:05.560Z,-30.6053,-71.3057,48.34,5.8,mww,,16,0.291,0.96,us,us100048du,2016-05-03T16:20:46.082Z,"10km W of Ovalle, Chile",earthquake,5.7,2.9,,,reviewed,us,us
2015-12-12T23:32:54.860Z,-41.1083,-90.0703,10,5.5,mwb,,63,12.473,0.88,us,us20004gtz,2016-04-15T00:57:55.000Z,"Southeast of Easter Island",earthquake,10.8,1.7,0.057,30,reviewed,us,us
2015-12-10T00:09:32.810Z,-35.8838,-73.2763,10,5.5,mww,,96,1.402,0.7,us,us20004g1p,2016-04-15T00:57:41.000Z,"86km NNW of Tome, Chile",earthquake,6.3,1.7,,,reviewed,us,us
2015-12-08T12:56:07.420Z,-30.8096,-71.7519,25,5.6,mww,,48,0.168,0.75,us,us1000454p,2016-04-15T00:57:35.000Z,"57km WSW of Ovalle, Chile",earthquake,2.9,1.7,,,reviewed,us,us
2015-12-07T07:51:11.430Z,-31.3985,-71.2624,49.53,5.5,mwr,,57,0.743,0.91,us,us100044k5,2016-03-02T03:36:36.040Z,"27km NNW of Illapel, Chile",earthquake,5.2,4.2,,,reviewed,us,guc
2015-12-03T15:55:15.080Z,-33.98,-109.3331,14.65,5,mb,,62,29.167,0.75,us,us1000431u,2016-04-15T00:57:08.000Z,"Southern East Pacific Rise",earthquake,13.7,3.4,0.05,127,reviewed,us,us
2015-12-03T03:02:34.500Z,-34.5735,-109.3484,10,5.2,mb,,112,7.39,0.59,us,us100042wp,2016-04-15T00:57:02.000Z,"Southern East Pacific Rise",earthquake,13.1,1.9,0.035,270,reviewed,us,us
2015-12-03T00:23:55.740Z,-34.4849,-109.2098,10,5,mb,,50,29.661,0.53,us,us100042w1,2016-04-15T00:57:00.000Z,"Southern East Pacific Rise",earthquake,13.9,1.8,0.052,119,reviewed,us,us
2015-11-30T14:45:24.340Z,-24.3012,-67.1815,179.34,5.3,mwr,,72,2.312,0.48,us,us1000426g,2016-03-25T13:59:57.000Z,"88km W of San Antonio de los Cobres, Argentina",earthquake,6.2,6.7,,,reviewed,us,guc
